site,I(NEE;VPD)13,I(NEE;T)13,I(NEE;u)13,I(NEE;R)13,I(NEE;C13),I(LH;VPD)13,I(LH;T)13,I(LH;u)13,I(LH;R)13,I(LH;C13),U(NEE;C13),S(NEE;C13),R(NEE;C13),U+S(NEE;C13),U(LH;C13),S(LH;C13),R(LH;C13),U+S(LH;C13),I(NEE;VPD)2,I(NEE;T)2,I(NEE;u)2,I(NEE;R)2,I(NEE;H2),I(LH;VPD)2,I(LH;T)2,I(LH;u)2,I(LH;R)2,I(LH;H2),U(NEE;H2),S(NEE;H2),R(NEE;H2),U+S(NEE;H2),U(LH;H2),S(LH;H2),R(LH;H2),U+S(LH;H2),I(NEE;VPD)dx,I(NEE;T)dx,I(NEE;u)dx,I(NEE;R)dx,I(NEE;dEx),I(LH;VPD)dx,I(LH;T)dx,I(LH;u)dx,I(LH;R)dx,I(LH;dEx),U(NEE;dEx),S(NEE;dEx),R(NEE;dEx),U+S(NEE;dEx),U(LH;dEx),S(LH;dEx),R(LH;dEx),U+S(LH;dEx)
ABBY,0.22013703835925438,0.21767686748652837,0.061466956413895164,0.5811119008244594,0.10273534198306877,0.576209145426411,0.5374274337288435,0.046481744273116035,1.1780807521239527,0.07682054532214454,0.08624617157243329,0.013970321567313653,0.004965550404921593,0.10021649313974687,0.06100811707481548,0.013819591250676598,0.005445667654523648,0.07482770832549204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BART,0.3482992448897536,0.4064939867990181,0.06277990265043525,0.5436620341656947,0.17933522027790721,0.6590009097940203,0.5890121104975865,0.08672878015959914,0.8369690340689219,0.17488772356751772,0.11968575075835147,0.01004212071587923,0.041114577261004565,0.12972787147423068,0.11733021466753868,0.00950516719526285,0.041630339307239306,0.12683538186280163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLAN,0.23521825034381902,0.2539778894203548,0.14925623910485436,0.42432467587373013,0.05608594317451364,0.5685092889302865,0.43531657073997104,0.15524334856357783,0.7766383838105338,0.08021038222767268,0.04166280577330432,0.018751881956716572,0.002575541766816964,0.06041468773002097,0.05692563252355533,0.012666191597629873,0.00846041532805838,0.06959182412118527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONA,0.283849882916847,0.21749447250240775,0.1173601013851988,0.39618604638408306,0.047413572695442864,0.578706187293305,0.6864930959519353,0.1395314989927188,0.6390554526917724,0.054762736048677096,0.03918168649220722,0.02897062778454439,0.00040169107088305054,0.0681523142767516,0.045605657274198096,0.03206678171750494,0.000879054303160753,0.07767243899170304,0.19424449846664152,0.1528120710213397,0.06163675278919852,0.19926739100197474,0.08718504742390218,0.8245907605345024,0.6915984430683261,0.12631452121088269,0.6527770865612489,0.28811706807676335,0.0632075130921351,0.02538378686822915,0.008754673609569458,0.08859129996036437,0.14492754740715502,0.008887050103916709,0.10541126994298813,0.1538145975110718,0.11983265190232106,0.14394212247774626,0.0392477940563428,0.09540651772461323,0.06250196014992872,0.6163614623211786,0.5494180194134479,0.1287710957199924,0.44675251882092404,0.14198520519950622,0.051901982844038394,0.036077012269833376,0.0016157250473232015,0.08797899511387178,0.10474418780483388,0.015729163114108314,0.018978312114902824,0.12047335091894226
CLBJ,0.18885381188325837,0.26849516897696035,0.04785481454841122,0.32471291878545516,0.12283499518485565,0.26996472531730364,0.3974614785254086,0.03720597126239484,0.4279568023159994,0.1084226677223182,0.08852578488507956,0.010002282775325885,0.017445134478415072,0.09852806766040537,0.07578163567696207,0.009479042347585745,0.02071311760049156,0.08526067802454776,0.11902945109941783,0.13745188278905496,0.04865511774291829,0.17254197425382106,0.061151024142403844,0.3538252756886766,0.36301931544030325,0.028949538685244046,0.4569261298390571,0.07535644599659633,0.05039923916906181,0.03147043043836587,0.0018777642702829508,0.0818696696074276,0.05756486451972706,0.020941014953491325,0.00879640679757866,0.0785058794732184,0.07204800458529895,0.12446746243733792,0.060200036033828494,0.12163940343173765,0.050454634998567505,0.2987551580328105,0.2942272259872192,0.041480142085740974,0.3669148332026226,0.06041470980248056,0.038734902384645595,0.02759086121515973,0.0003975400026324221,0.0663257635998053,0.04952352511517446,0.029645727381354826,0.0005729972597259222,0.0791692524965292
CPER,0.04000434145658261,0.06902278744911362,0.029751602632665488,0.09893765065101646,0.116491134895274,0.10113701564392301,0.19077320434033018,0.0340519268395326,0.3105861064893658,0.4010222623037441,0.09134401292202135,0.015052612249185603,0.008907661630358573,0.1063966251712069,0.2973412774041328,0.00991124919698475,0.0737661157523201,0.30725252660111724,0.09453159144246676,0.12104239317514953,0.04201247920956656,0.12695630873743285,0.1308155476694305,0.16150458637715878,0.2037056502451165,0.034554359790476566,0.3903050422749098,0.15344824386098047,0.09023517742415467,0.008617596462512485,0.024095108446971814,0.09885277388666698,0.07896444724954094,0.010593016472671999,0.05193069584279305,0.08955746372221289,0.10697803132817804,0.1370587305506572,0.03979318563402479,0.14022600905332389,0.04410142949408963,0.15987249187877683,0.2003540624659239,0.03314893564295493,0.39734799763491,0.08032248109882947,0.03452905971807459,0.02051859965475476,0.0008055887481857387,0.05504765937282931,0.06181059913087858,0.008315541568021096,0.006525798071500045,0.07012614069889965
DCFS,0.028773161921648503,0.035352028893642654,0.023306297177777834,0.07639720472287458,0.04993062564046996,0.168039827316399,0.33604304606215224,0.03680054086728266,0.3864144482623227,0.05532837816684033,0.042369351270143164,0.030107943981920023,0.00036020563381313533,0.07247729525206317,0.046945074865704386,0.043811812286950684,0.0006207850263759556,0.09075688715265502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEJU,0.173099390758019,0.1846974482820056,0.089097460201427,0.32657509229445497,0.03396055005465091,0.41949292863345106,0.5564221157526771,0.11990944490006342,0.6064767440779156,0.04036949199853345,0.027252187520527972,0.03279075935887956,0.000316436157995064,0.060042946879407505,0.03437691905294527,0.041122135297241694,0.0003425645859716463,0.07549905435018703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELA,0.2605603550463006,0.28853080434912126,0.09801443209642233,0.5050279839555157,0.13376022971578777,0.5073481776889324,0.5034986363566044,0.09596852900653469,0.8323939895992352,0.14933774780681072,0.09607698303133856,0.005659038576522506,0.02394242309749744,0.1017360216078611,0.11009296001587607,0.008232106392355849,0.02565899252964751,0.11832506640823194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
