srfID,startDateTime,endDateTime,domainID,siteID,dpID,fieldName,horizontalPosition,verticalPosition,srfValue,srfValueJustification,createDateTime,lastUpdateDateTime
7742,2019-07-01T17:49:00Z,2022-03-01T00:00:00Z,D01,HARV,DP1.00001.001,windDirFinalQFSciRvw,000,030,1,"Per INC0029838, a tree hit the ML3 and ML4 temperature booms and they are retracted to prevent further damage.\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: updated end date\n: Updated end date\n: Updated end date\n: updated end date\n: updated end date\n: extended end date\n: extended end date\n: extended end date",2019-08-02T16:45:19Z,2022-03-03T17:27:54Z
7744,2019-07-01T17:49:00Z,2022-03-01T00:00:00Z,D01,HARV,DP1.00001.001,windDirFinalQFSciRvw,000,040,1,"Per INC0029838, a tree hit the ML3 and ML4 temperature booms and they are retracted to prevent further damage.\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: updated end date\n: Updated end date\n: updated end date\n: updated end date\n: extended end date\n: extended end date\n: extended end date",2019-08-02T16:45:19Z,2022-03-03T17:27:07Z
7746,2019-07-01T17:49:00Z,2022-03-01T00:00:00Z,D01,HARV,DP1.00001.001,windSpeedFinalQFSciRvw,000,030,1,"Per INC0029838, a tree hit the ML3 and ML4 temperature booms and they are retracted to prevent further damage.\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: updated end date\n: Updated end date\n: updated end date\n: updated end date\n: extended end date\n: extended end date\n: extended end date",2019-08-02T16:45:19Z,2022-03-03T17:26:20Z
7748,2019-07-01T17:49:00Z,2022-03-01T00:00:00Z,D01,HARV,DP1.00001.001,windSpeedFinalQFSciRvw,000,040,1,"Per INC0029838, a tree hit the ML3 and ML4 temperature booms and they are retracted to prevent further damage.\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date.\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: Updated end date\n: updated end date\n: Updated end date\n: updated end date\n: updated end date\n: extended end date\n: extended end date\n: extended end date",2019-08-02T16:45:19Z,2022-03-03T17:25:34Z
