HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"000.010",CFGLOC100113,"Sterling 2D Wind L1","2010-01-01T00:00:00Z","2013-11-11T00:00:00Z",TOWER100002,"Sterling Tower","2010-01-01T00:00:00Z",,6.23,2.36,0.19,0.00,0.00,270.00,40.461927,-103.029290,1364.63,-6.23,-2.36,270.00,180.00
"000.010",CFGLOC100113,"Sterling 2D Wind L1","2013-11-11T00:00:00Z","2017-04-26T19:29:59Z",TOWER100002,"Sterling Tower","2010-01-01T00:00:00Z",,6.23,2.36,0.19,0.00,0.00,90.00,40.461927,-103.029290,1364.63,-6.23,-2.36,270.00,180.00
"000.010",CFGLOC100113,"Sterling 2D Wind L1","2017-04-26T19:30:00Z",,TOWER100002,"Sterling Tower","2010-01-01T00:00:00Z",,6.23,2.36,0.19,0.00,0.00,270.00,40.461927,-103.029290,1364.63,-6.23,-2.36,270.00,180.00
"000.020",CFGLOC100114,"Sterling 2D Wind L2","2010-01-01T00:00:00Z","2013-11-11T00:00:00Z",TOWER100002,"Sterling Tower","2010-01-01T00:00:00Z",,6.23,2.36,1.49,0.00,0.00,270.00,40.461927,-103.029290,1364.63,-6.23,-2.36,270.00,180.00
"000.020",CFGLOC100114,"Sterling 2D Wind L2","2013-11-11T00:00:00Z","2017-04-26T19:29:59Z",TOWER100002,"Sterling Tower","2010-01-01T00:00:00Z",,6.23,2.36,1.49,0.00,0.00,90.00,40.461927,-103.029290,1364.63,-6.23,-2.36,270.00,180.00
"000.020",CFGLOC100114,"Sterling 2D Wind L2","2017-04-26T19:30:00Z",,TOWER100002,"Sterling Tower","2010-01-01T00:00:00Z",,6.23,2.36,1.49,0.00,0.00,270.00,40.461927,-103.029290,1364.63,-6.23,-2.36,270.00,180.00
"000.030",CFGLOC100115,"Sterling 2D Wind L3","2010-01-01T00:00:00Z","2013-11-11T00:00:00Z",TOWER100002,"Sterling Tower","2010-01-01T00:00:00Z",,6.23,2.36,4.58,0.00,0.00,270.00,40.461927,-103.029290,1364.63,-6.23,-2.36,270.00,180.00
"000.030",CFGLOC100115,"Sterling 2D Wind L3","2013-11-11T00:00:00Z","2017-04-26T19:29:59Z",TOWER100002,"Sterling Tower","2010-01-01T00:00:00Z",,6.23,2.36,4.58,0.00,0.00,90.00,40.461927,-103.029290,1364.63,-6.23,-2.36,270.00,180.00
"000.030",CFGLOC100115,"Sterling 2D Wind L3","2017-04-26T19:30:00Z",,TOWER100002,"Sterling Tower","2010-01-01T00:00:00Z",,6.23,2.36,4.58,0.00,0.00,270.00,40.461927,-103.029290,1364.63,-6.23,-2.36,270.00,180.00
