date,ABBY,BARR,BART,BLAN,BONA,CLBJ,CPER,DCFS,DEJU,DELA,DSNY,GRSM,GUAN,HARV,HEAL,JERC,JORN,KONA,KONZ,LAJA,LENO,MLBS,MOAB,NIWO,NOGP,OAES,ONAQ,ORNL,OSBS,PUUM,RMNP,SCBI,SERC,SJER,SOAP,SRER,STEI,STER,TALL,TEAK,TOOL,TREE,UKFS,UNDE,WOOD,WREF,YELL
2021-11-26,-9999.0,-9999.0,-9999.0,-9999.0,-373.977860674717,-9999.0,-202.58694134221,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-44.1664650741943,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-34.5090553305261,-9999.0,-9999.0,-9999.0,-9999.0,-222.65746702718,-9999.0,-9999.0,-175.022954056719,-104.615264398437,-52.0437275439489,-86.5531892733931,-9999.0,-9999.0,-9999.0,-77.0296225652632,-9999.0,-102.403017387746,-9999.0,-9999.0,-144.149479422388,-9999.0,-9999.0,-9999.0,-9999.0,-178.653883165458,-149.497672127732,-109.69949507499,-163.835071285022
2021-11-27,-9999.0,-9999.0,-9999.0,-9999.0,-406.871811315989,-9999.0,-155.443306585541,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-60.6329388599018,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-113.780620537347,-9999.0,-9999.0,-9999.0,-9999.0,-194.425227666225,-9999.0,-9999.0,-136.804472287342,-110.093253684755,-93.1077909536533,-63.0002705382378,-9999.0,-87.9738823850748,-9999.0,-76.993155690885,-9999.0,-107.143851445138,-9999.0,-9999.0,-117.370499065261,-9999.0,-9999.0,-9999.0,-9999.0,-135.997128541491,-216.675040664106,-80.2256308230365,-9999.0
2021-11-28,-9999.0,-9999.0,-9999.0,-9999.0,-418.2320085271,-9999.0,-308.098374389846,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-64.7952296306963,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-145.009183601547,-9999.0,-9999.0,-9999.0,-9999.0,-173.475601526183,-9999.0,-9999.0,-126.104935089087,-183.183329568384,-73.9050860173898,13.6370698956475,-9999.0,-158.48514502052,-9999.0,-60.9318457580237,-9999.0,-93.2308705191545,-9999.0,-9999.0,-105.147978189942,-9999.0,-9999.0,-9999.0,-9999.0,-179.463568689304,-154.452317598867,-149.89078165138,-9999.0
2021-11-29,-9999.0,-9999.0,-9999.0,-9999.0,-429.374815332512,-9999.0,-205.145007952677,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-27.3900594665227,-164.802855984314,-9999.0,-9999.0,-9999.0,-9999.0,-113.551882308562,-9999.0,-9999.0,-9999.0,-9999.0,-247.158140692129,-9999.0,-9999.0,-151.826863460481,-61.5799249627114,-27.6568235440475,-147.293851249391,-9999.0,-153.002783307534,-9999.0,-53.6817173516273,-9999.0,-193.291557083154,-9999.0,-9999.0,-122.764628338352,-9999.0,-9999.0,-9999.0,-9999.0,-137.198707098894,-119.408826280669,-88.3226969224368,-9999.0
2021-11-30,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-119.086873093106,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-24.2555167281366,-165.576790644423,-9999.0,-9999.0,-9999.0,-9999.0,-175.939125468998,-9999.0,-9999.0,-9999.0,-9999.0,-256.169875458254,-9999.0,-9999.0,-135.024472422042,-92.4819071854449,-100.646677288172,-191.680672418957,-9999.0,-116.631942597914,-9999.0,-51.7820331755504,-9999.0,-115.819238899224,-9999.0,-9999.0,-86.8427289893539,-9999.0,-9999.0,-9999.0,-9999.0,-198.067951252434,-194.686466959441,-151.568179309382,-9999.0
2021-12-01,-9999.0,-9999.0,-9999.0,-9999.0,-373.718040803606,-53.6021949793103,-252.35951947035,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-48.1392005540606,-151.860390843677,-9999.0,-9999.0,-9999.0,-9999.0,-101.696773563019,-9999.0,-9999.0,-9999.0,-9999.0,-239.561683419774,-9999.0,-9999.0,-9999.0,-52.327333148705,-9999.0,-9999.0,-9999.0,-74.0924195989633,-9999.0,-9999.0,-9999.0,-161.417951981487,-9999.0,-9999.0,-33.0886610893595,-9999.0,-9999.0,-9999.0,-9999.0,-169.213650768633,-147.519056952963,-97.0441294839087,-9999.0
2021-12-02,-9999.0,-9999.0,-9999.0,-9999.0,-361.101767167113,-280.179006077846,-173.075444420087,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-27.0343698217114,-20.0546178393772,-9999.0,-9999.0,-9999.0,-9999.0,-108.533034368933,-9999.0,-9999.0,-9999.0,-9999.0,-196.724047753152,-9999.0,-9999.0,-9999.0,-46.645824238217,-35.1177645453704,-9999.0,-9999.0,-16.8989064253293,-9999.0,-52.2541364701485,-9999.0,-176.504793444454,-9999.0,-9999.0,-72.3207722850668,-9999.0,-9999.0,-9999.0,-9999.0,-157.029482910766,-214.837292867445,-105.370506492095,-9999.0
2021-12-03,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-129.80610501174,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-51.2729843154024,-210.845450278196,-9999.0,-9999.0,-9999.0,-9999.0,-137.373322012262,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-25.9110972182661,-28.9987538492023,-9999.0,-9999.0,-162.865283302633,-9999.0,-65.7220930458059,-9999.0,-137.186162422143,-9999.0,-9999.0,-59.1404693882299,-9999.0,-9999.0,-9999.0,-9999.0,-188.087557777913,-200.209998920254,-86.6963054977814,-9999.0
2021-12-04,-9999.0,-9999.0,-9999.0,-9999.0,-417.635846535268,-50.1042484546885,-133.159705848068,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-45.6110027475289,-225.449781211058,-9999.0,-9999.0,-9999.0,-9999.0,-122.062545744492,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-46.7104005056173,-14.3975287726721,-9999.0,-9999.0,-62.8232350502114,-9999.0,-61.5469170846719,-9999.0,-112.152635122824,-9999.0,-9999.0,-64.3464411755201,-9999.0,-9999.0,-9999.0,-9999.0,-208.482493042822,-162.217667945549,-99.2019593328878,-9999.0
2021-12-05,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-200.590168790747,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-145.306975737469,-9999.0,-9999.0,-9999.0,-9999.0,-52.3965886251086,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-60.9980513510286,-28.9219763737109,-9999.0,-9999.0,-128.230389259902,-9999.0,-16.7540463228802,-9999.0,-120.051830888593,-9999.0,-9999.0,-50.6248148961661,-9999.0,-9999.0,-9999.0,-9999.0,-165.154673812753,101.927613368771,-123.287888370408,-9999.0
2021-12-06,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-219.901621253345,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-56.6502885948015,-59.2714389069646,-9999.0,-9999.0,-9999.0,-9999.0,-217.319144337398,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-28.4401628512577,-27.8852381872729,-9999.0,-9999.0,-81.9268587817631,-9999.0,-61.9035390466282,-9999.0,-111.442379201838,-9999.0,-9999.0,42.7859586679078,-9999.0,-9999.0,-9999.0,-9999.0,-222.575207075525,-206.054372297887,-223.004040963026,-9999.0
2021-12-07,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-66.3474930954474,-206.397242633104,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-56.912365183634,-147.459552764274,-9999.0,-9999.0,-9999.0,-9999.0,-269.138170790332,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-64.6678826459012,-7.65338877941096,-9999.0,-9999.0,-191.872263070877,-9999.0,-51.4364233614536,-9999.0,-97.6552879349363,-9999.0,-9999.0,-63.3540906528698,-9999.0,-9999.0,-9999.0,-9999.0,-223.684671650044,-217.374183964782,-156.802619486607,-9999.0
2021-12-08,-9999.0,-9999.0,-9999.0,-9999.0,-273.684408472793,-51.3147283639946,-211.367859236862,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-27.497107704548,-188.462709613223,-9999.0,-9999.0,-9999.0,-9999.0,-197.17668271005,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-71.4546179433837,-37.932164552533,-9999.0,-9999.0,-112.335248939736,-9999.0,-82.4028556534346,-9999.0,-87.1041815908075,-9999.0,-9999.0,-100.415374718137,-9999.0,-9999.0,-9999.0,-9999.0,-230.760275009508,-160.899631220204,-232.330664336989,-212.176452171933
2021-12-09,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-28.0540693167382,-301.945768983785,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-33.9500386765179,-218.025520364451,-9999.0,-9999.0,-9999.0,-9999.0,39.7155096715995,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-102.435271258679,-33.1750924826211,-9999.0,-9999.0,-74.5361781463054,-9999.0,-229.807668345763,-9999.0,-94.0358232080111,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-128.520879772878,-279.808247959982,-171.431332843622,-237.702152229075
2021-12-10,-9999.0,-9999.0,-9999.0,-9999.0,-293.135854391827,-37.3368492799443,-213.599155959471,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-49.8457235239331,-84.987263729059,-9999.0,-9999.0,-9999.0,-9999.0,-91.9552198205889,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-51.7514624850159,-26.5764589360996,-9999.0,-9999.0,-51.1999226635902,-9999.0,-177.352818335289,-9999.0,-146.029544873048,-9999.0,-9999.0,-33.970898538195,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-204.869979687259,-94.3404996058216,-236.475855196012
2021-12-11,-9999.0,-9999.0,-9999.0,-9999.0,-313.314396226184,-128.060817848818,-246.127778720179,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-53.4650766937709,-64.6182974506724,-9999.0,-9999.0,-9999.0,-9999.0,-276.862960327051,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,311.688926080803,-48.8925201237299,-9999.0,-9999.0,-61.4759950183888,-9999.0,-144.939518091913,-9999.0,-98.2925139906418,-9999.0,-9999.0,-7.22966025778296,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-179.826833460517,-214.588626719927,-244.226892233971
2021-12-12,-9999.0,-9999.0,-9999.0,-9999.0,-376.003692089842,-147.706934179036,-217.296295767473,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-39.6208959718063,-69.1476765539734,-9999.0,-9999.0,-9999.0,-9999.0,-120.134411135492,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-193.056215830173,-38.0133538457112,-9999.0,-9999.0,-220.801224100176,-9999.0,-121.879361563358,-9999.0,-167.963077922778,-9999.0,-9999.0,-193.167332747732,-9999.0,-9999.0,-9999.0,-9999.0,-199.791022124518,-169.105649763804,-92.7681539911205,-295.33719877808
